X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
766,Blocks,0,0,0,0,0,0,0,2
772,Blocks,0,0,0,0,0,0,0,2
773,Blocks,1,1,1,1,1,0,0,3
775,Blocks,1,1,1,1,1,0,0,2
777,Blocks,1,1,1,1,1,0,0,2
779,Blocks,0,0,0,0,0,0,0,2
782,Blocks,1,1,1,1,1,0,0,2
785,Blocks,0,0,0,0,0,0,0,3
786,Blocks,0,0,0,0,0,0,0,2
790,Blocks,1,1,1,1,1,0,0,2
792,Blocks,1,1,1,1,1,0,0,2
793,Blocks,1,1,1,1,1,0,0,2
795,Blocks,0,0,0,0,0,0,0,2
799,Blocks,0,0,0,0,0,0,0,2
800,Blocks,1,1,1,1,1,0,0,2
801,Blocks,0,0,0,0,0,0,0,2
814,Blocks,3,3,3,3,3,0,0,2
815,Blocks,1,1,1,1,1,0,0,2
816,Blocks,0,0,0,0,0,0,0,2
817,Blocks,1,1,1,1,1,0,0,3
818,Blocks,1,1,1,1,1,0,0,2
819,Blocks,1,1,1,1,1,0,0,2
820,Blocks,0,0,0,0,0,0,0,4
822,Blocks,0,0,0,0,0,0,0,2
825,Blocks,1,1,1,1,1,0,0,2
828,Blocks,0,0,0,0,0,0,0,2
830,Blocks,6,6,6,6,6,0,0,2
833,Blocks,3,3,3,3,3,0,0,3
834,Blocks,0,0,0,0,0,0,0,2
837,Blocks,3,3,3,3,3,0,0,3
838,Blocks,0,0,0,0,0,0,0,2
839,Blocks,1,1,1,1,1,0,0,2
841,Blocks,0,0,0,0,0,0,0,2
847,Blocks,6,6,6,6,6,0,0,2
848,Blocks,2,2,2,2,2,0,0,2
849,Blocks,2,2,2,2,2,0,0,2
850,Blocks,5,5,5,5,5,0,0,2
851,Blocks,1,1,1,1,1,0,0,2
852,Blocks,1,1,1,1,1,0,0,2
