CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
46,Functions,0.75,46.00,0.00,6.38,1.00,256.55,16.01729,8,1.2987949406953985,NaN,NA,NA
47,Functions,7.00,25.00,1.00,13.00,13.00,288.00,16.97056,2,1,0.23519338181924143,NA,NA
48,Functions,3.50,11.00,1.00,6.00,6.00,50.00,7.071068,2,1,0.41381685030363374,NA,NA
49,Functions,1.00,44.00,0.00,4.26,2.00,58.66,7.658822,70,3.1728692249750754,NaN,NA,NA
50,Functions,2.00,5.00,1.00,3.00,3.00,8.00,2.828427,2,1,0.6500224216483541,NA,NA
51,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,3,-0,1,NA,NA
52,Functions,12.00,27.00,1.00,17.00,23.00,196.00,14,3,1.584962500721156,0.7035461173859731,NA,NA
53,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
54,Functions,1.00,34.00,0.00,3.24,2.00,19.00,4.35916,133,3.021508525871929,NaN,NA,NA
55,Functions,1.00,460.00,-1.00,10.70,2.00,3206.36,56.62475,69,2.713836034329961,NaN,NA,NA
56,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
57,Functions,1.00,32.00,-1.00,6.29,2.00,133.24,11.54288,7,2.521640636343318,NaN,NA,NA
58,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
59,Functions,0.00,22.00,0.00,2.00,1.00,15.76,3.969581,34,2.2240299967263177,NaN,NA,NA
60,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
61,Functions,11.00,11.00,11.00,11.00,11.00,0.00,0,2,-0,1,NA,NA
62,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
63,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
64,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
65,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
66,Functions,0.25,4.00,0.00,1.14,1.00,1.21,1.09945,14,1.7884504573082896,NaN,NA,NA
67,Functions,3.50,11.00,1.00,6.00,6.00,50.00,7.071068,2,1,0.41381685030363374,NA,NA
68,Functions,0.50,10.00,0.00,3.67,1.00,30.33,5.507571,3,1.584962500721156,NaN,NA,NA
69,Functions,2.50,10.00,0.00,5.00,5.00,50.00,7.071068,2,1,NaN,NA,NA
70,Functions,3.25,10.00,1.00,5.50,5.50,40.50,6.363961,2,1,0.4394969869215134,NA,NA
71,Functions,3.25,10.00,1.00,5.50,5.50,40.50,6.363961,2,1,0.4394969869215134,NA,NA
72,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
73,Functions,13.25,50.00,1.00,25.50,25.50,1200.50,34.64823,2,1,0.13923299905509887,NA,NA
74,Functions,13.25,50.00,1.00,25.50,25.50,1200.50,34.64823,2,1,0.13923299905509887,NA,NA
75,Functions,1.00,33.00,1.00,7.17,1.50,162.57,12.75016,6,1.792481250360578,0.4791103467185592,NA,NA
76,Functions,9.50,20.00,6.00,13.00,13.00,98.00,9.899495,2,1,0.7793498372920851,NA,NA
77,Functions,0.50,14.00,0.00,3.13,2.00,15.84,3.97971,15,2.739572261986723,NaN,NA,NA
78,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
79,Functions,0.00,1.00,0.00,0.50,0.50,0.33,0.5773503,4,1,NaN,NA,NA
80,Functions,3.25,4.00,3.00,3.50,3.50,0.50,0.7071068,2,1,0.9852281360342515,NA,NA
81,Functions,1.00,14.00,0.00,4.71,2.00,27.57,5.25085,7,2.2359263506290326,NaN,NA,NA
82,Functions,0.00,2.00,0.00,0.50,0.00,1.00,1,4,0.8112781244591328,NaN,NA,NA
83,Functions,3.50,11.00,1.00,6.00,6.00,50.00,7.071068,2,1,0.41381685030363374,NA,NA
84,Functions,8.50,14.00,5.00,10.33,12.00,22.33,4.725816,3,1.584962500721156,0.9290527370129849,NA,NA
85,Functions,1.00,7.00,0.00,2.75,2.00,7.36,2.712405,8,1.9056390622295665,NaN,NA,NA
86,Functions,1.00,117.00,1.00,39.67,1.00,4485.33,66.97263,3,0.9182958340544896,0.08828054813645254,NA,NA
87,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
88,Functions,0.00,16.00,0.00,3.89,2.00,27.86,5.278363,9,2.6416041678685938,NaN,NA,NA
89,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
90,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
91,Functions,0.75,9.00,0.00,2.42,2.00,6.63,2.574643,12,2.4591479170272446,NaN,NA,NA
92,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
93,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
94,Functions,0.75,12.00,0.00,4.88,3.00,24.98,4.998214,8,2.5,NaN,NA,NA
95,Functions,1.50,4.00,1.00,2.14,2.00,1.14,1.069045,7,1.8423709931771084,0.9462874612889592,NA,NA
96,Functions,10.25,23.00,6.00,14.50,14.50,144.50,12.02082,2,1,0.7355085815538398,NA,NA
97,Functions,1.00,48.00,1.00,13.00,1.50,544.67,23.33809,4,1.5,0.2533140895069355,NA,NA
98,Functions,2.50,7.00,1.00,4.00,4.00,18.00,4.242641,2,1,0.5435644431995964,NA,NA
99,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
100,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
101,Functions,4.25,8.00,3.00,5.50,5.50,12.50,3.535534,2,1,0.8453509366224364,NA,NA
102,Functions,3.25,4.00,3.00,3.50,3.50,0.50,0.7071068,2,1,0.9852281360342515,NA,NA
103,Functions,4.50,9.00,3.00,6.00,6.00,18.00,4.242641,2,1,0.8112781244591328,NA,NA
104,Functions,0.75,9.00,0.00,2.88,1.50,10.41,3.226564,8,2.5,NaN,NA,NA
105,Functions,0.75,3.00,0.00,1.25,1.00,1.58,1.258306,4,1.5,NaN,NA,NA
106,Functions,1.75,44.00,1.00,16.00,9.50,402.00,20.04994,4,2,0.5648292224898683,NA,NA
107,Functions,72.00,72.00,72.00,72.00,72.00,0.00,0,2,-0,1,NA,NA
108,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
109,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
110,Functions,1.00,34.00,-1.00,4.69,1.00,91.40,9.560201,13,2.6235166412180155,NaN,NA,NA
111,Functions,2.00,5.00,1.00,3.00,3.00,8.00,2.828427,2,1,0.6500224216483541,NA,NA
112,Functions,1.00,3.00,1.00,2.00,2.00,1.33,1.154701,4,1,0.9056390622295665,NA,NA
113,Functions,1.00,3.00,1.00,2.00,2.00,1.33,1.154701,4,1,0.9056390622295665,NA,NA
114,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
115,Functions,0.00,3.00,0.00,0.71,0.00,1.24,1.112697,7,1.3787834934861753,NaN,NA,NA
116,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
