X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
109,Functions,3,3,3,3,3,0,0,2
110,Functions,1,-1,34,4.692308,1,91.39744,9.560201,13
111,Functions,2,1,5,3,3,8,2.828427,2
112,Functions,1,1,3,2,2,1.333333,1.154701,4
113,Functions,1,1,3,2,2,1.333333,1.154701,4
114,Functions,0,0,0,0,0,0,0,2
115,Functions,0,0,3,0.7142857,0,1.238095,1.112697,7
116,Functions,0,0,0,0,0,0,0,3
117,Functions,0,0,2,0.8,1,0.7,0.83666,5
118,Functions,9,6,18,12,12,72,8.485281,2
119,Functions,0,-1,12,2,1,15.38462,3.922323,14
120,Functions,1,1,1,1,1,0,0,5
121,Functions,0.5,0,2,1,1,2,1.414214,2
122,Functions,6,6,6,6,6,0,0,2
123,Functions,1.5,1,49,12.16667,4.5,345.7667,18.5948,6
124,Functions,1.75,1,4,2.5,2.5,4.5,2.12132,2
125,Functions,2,2,2,2,2,0,0,2
126,Functions,0.5,0,2,1,1,2,1.414214,2
127,Functions,1.75,0,10,3.0625,2.5,5.544355,2.354645,32
128,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
129,Functions,4,4,4,4,4,0,0,2
130,Functions,3.5,3,9,5.285714,5,4.904762,2.21467,7
131,Functions,3.5,3,9,5.285714,5,4.904762,2.21467,7
132,Functions,2,1,6,2.761905,3,1.790476,1.338087,21
133,Functions,0,0,0,0,0,0,0,2
134,Functions,1,0,109,4.323232,1,193.3843,13.90627,99
135,Functions,2,1,3,2.333333,3,1.333333,1.154701,3
136,Functions,0,0,15,2.416667,0,20.44697,4.521833,12
137,Functions,1.5,1,2,1.666667,2,0.3333333,0.5773503,3
138,Functions,4.25,4,5,4.5,4.5,0.5,0.7071068,2
139,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
140,Functions,0,0,0,0,0,0,0,2
141,Functions,0,0,1,0.3333333,0,0.3333333,0.5773503,3
142,Functions,1.75,1,12,5.5,4.5,25.66667,5.066228,4
143,Functions,2.75,2,11,4.75,3,17.58333,4.193249,4
144,Functions,1,1,8,3.2,3,8.2,2.863564,5
145,Functions,4,4,4,4,4,0,0,2
146,Functions,2.25,2,3,2.5,2.5,0.5,0.7071068,2
147,Functions,2.25,2,3,2.5,2.5,0.5,0.7071068,2
148,Functions,3.25,2,7,4.5,4.5,12.5,3.535534,2
149,Functions,5,4,8,6,6,8,2.828427,2
150,Functions,2,1,8,3.4,2,7.8,2.792848,5
151,Functions,0,0,1,0.3333333,0,0.3333333,0.5773503,3
152,Functions,2,2,2,2,2,0,0,2
