X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
107,Functions,0,-1,9,1.133333,0,6.12381,2.474633,15
108,Functions,0,0,9,1.5,0.5,9.428571,3.070598,8
109,Functions,0,0,2,0.4,0,0.8,0.8944272,5
110,Functions,0,0,2,0.6666667,0,1.333333,1.154701,3
111,Functions,1.75,1,48,13.5,2.5,529.6667,23.01449,4
112,Functions,0,-5,93,0.6543779,0,42.56981,6.524554,217
113,Functions,0,-1,3,0.2777778,0,0.6830065,0.8264421,18
114,Functions,0,0,2,0.6,0,0.8,0.8944272,5
115,Functions,1.5,0,118,32,5,3298.667,57.43402,4
116,Functions,-1,-2,2,0,0,8,2.828427,2
117,Functions,0,-1,3,0.3,0,1.344444,1.159502,10
118,Functions,0,-1,4,0.5,0,1.096774,1.04727,32
119,Functions,0,-1,2,0.3793103,0,0.6009852,0.7752324,29
120,Functions,0,-4,14,1.166667,0,8.971264,2.995207,30
121,Functions,0,0,0,0,0,0,0,2
122,Functions,0,0,2,0.75,0.5,0.9166667,0.9574271,4
123,Functions,0.5,0,2,1,1,1,1,3
124,Functions,0.5,0,2,1,1,1,1,3
125,Functions,9.5,0,38,19,19,722,26.87006,2
126,Functions,0,0,0,0,0,0,0,2
127,Functions,0,-4,24,1.448276,1,21.89901,4.679638,29
128,Functions,0,0,0,0,0,0,0,2
129,Functions,0,0,0,0,0,0,0,2
130,Functions,0,0,0,0,0,0,0,4
131,Functions,0,0,0,0,0,0,0,2
132,Functions,0,-5,3,0.45,0,1.894872,1.376543,40
133,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
134,Functions,1.5,1,3,2,2,1,1,3
135,Functions,0,0,0,0,0,0,0,2
136,Functions,1,1,1,1,1,0,0,2
137,Functions,0,0,1,0.25,0,0.25,0.5,4
138,Functions,0,-2,58,4.2,0,223.3143,14.9437,15
139,Functions,-2.25,-3,0,-1.5,-1.5,4.5,2.12132,2
140,Functions,-2,-3,0,-1.333333,-1,2.333333,1.527525,3
141,Functions,-3.75,-5,0,-2.5,-2.5,12.5,3.535534,2
142,Functions,1.5,1,2,1.666667,2,0.3333333,0.5773503,3
143,Functions,2,2,2,2,2,0,0,3
144,Functions,0,0,1,0.25,0,0.25,0.5,4
145,Functions,0,-2,6,1.076923,0,6.410256,2.531848,13
146,Functions,1,0,2,1.333333,2,1.333333,1.154701,3
147,Functions,0.5,0,2,1,1,2,1.414214,2
148,Functions,1.5,1,3,2,2,2,1.414214,2
149,Functions,0,-1,20,1.846154,0,31.30769,5.595328,13
150,Functions,0,-6,8,0.4485597,0,2.198789,1.482831,243
151,Functions,-0.5,-2,1,0,0,1.333333,1.154701,7
152,Functions,0,-2,1,0.1111111,0,1.111111,1.054093,9
153,Functions,0,-5,5,0.12,0,4.11,2.027313,25
154,Functions,1,0,4,2,2,8,2.828427,2
155,Functions,0,0,0,0,0,0,0,2
156,Functions,2,2,2,2,2,0,0,2
157,Functions,2,2,2,2,2,0,0,2
158,Functions,0,-1,7,0.8888889,1,3.51634,1.875191,18
159,Functions,0,0,1,0.5,0.5,0.3333333,0.5773503,4
160,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
161,Functions,0,0,0,0,0,0,0,2
162,Functions,0,0,0,0,0,0,0,2
163,Functions,-1,-3,3,-0.3478261,0,1.600791,1.265224,23
164,Functions,0,0,0,0,0,0,0,2
165,Functions,0,0,0,0,0,0,0,2
166,Functions,0,0,0,0,0,0,0,2
167,Functions,-2,-2,2,-0.25,-0.5,4.25,2.061553,4
168,Functions,0,-3,4,0.5454545,0,3.272727,1.809068,11
169,Functions,2,2,2,2,2,0,0,2
170,Functions,0,0,3,0.7857143,1,0.7967033,0.8925824,14
171,Functions,0.5,0,2,1,1,1,1,3
172,Functions,0,0,0,0,0,0,0,2
173,Functions,-1,-1,-1,-1,-1,0,0,2
174,Functions,1,1,2,1.333333,1,0.3333333,0.5773503,3
175,Functions,1,1,1,1,1,0,0,2
176,Functions,1,1,1,1,1,0,0,2
177,Functions,1,1,1,1,1,0,0,2
178,Functions,-1.25,-2,1,-0.5,-0.5,4.5,2.12132,2
179,Functions,1,1,1,1,1,0,0,2
180,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
181,Functions,0,0,12,2.642857,1.5,14.70879,3.835204,14
182,Functions,-0.25,-1,4,1,0.5,4.666667,2.160247,4
183,Functions,0,0,0,0,0,0,0,2
184,Functions,0,-6,7,0.3975904,0,3.827799,1.956476,83
185,Functions,3,3,3,3,3,0,0,2
186,Functions,0,0,0,0,0,0,0,2
187,Functions,-0.25,-1,2,0.5,0.5,4.5,2.12132,2
188,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
189,Functions,0,0,0,0,0,0,0,2
190,Functions,1,1,1,1,1,0,0,2
191,Functions,1,1,2,1.25,1,0.25,0.5,4
192,Functions,0,0,1,0.25,0,0.25,0.5,4
193,Functions,0,0,0,0,0,0,0,2
194,Functions,2,2,2,2,2,0,0,2
195,Functions,1,0,4,2,2,8,2.828427,2
196,Functions,0,-1,3,0.4,0,2.3,1.516575,5
197,Functions,0.75,-1,6,2.5,2.5,24.5,4.949747,2
198,Functions,2.25,1,6,3.5,3.5,12.5,3.535534,2
199,Functions,9,9,9,9,9,0,0,2
200,Functions,0,0,1,0.25,0,0.25,0.5,4
201,Functions,1,1,3,1.666667,1,1.333333,1.154701,3
202,Functions,-3.5,-7,4,-1,0,31,5.567764,3
203,Functions,-5.25,-7,0,-3.5,-3.5,24.5,4.949747,2
204,Functions,1,1,1,1,1,0,0,2
205,Functions,0,0,0,0,0,0,0,3
206,Functions,0,0,0,0,0,0,0,2
207,Functions,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
208,Functions,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
209,Functions,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
210,Functions,0,-2,2,-0.03703704,0,0.7293447,0.8540168,27
211,Functions,-0.5,-1,1,0,0,2,1.414214,2
212,Functions,2.25,1,6,3.5,3.5,12.5,3.535534,2
213,Functions,2.25,1,6,3.5,3.5,12.5,3.535534,2
214,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
215,Functions,0.5,0,2,1,1,2,1.414214,2
216,Functions,4.5,0,18,9,9,162,12.72792,2
217,Functions,0,0,0,0,0,0,0,3
218,Functions,0,-3,25,3.789474,0,63.61988,7.976207,19
219,Functions,-1,-2,1,-0.3333333,0,2.333333,1.527525,3
220,Functions,-1.25,-2,1,-0.5,-0.5,4.5,2.12132,2
221,Functions,18,18,18,18,18,0,0,2
222,Functions,0,0,0,0,0,0,0,3
223,Functions,0,0,1,0.25,0,0.25,0.5,4
224,Functions,0,0,0,0,0,0,0,2
225,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
226,Functions,0,-1,12,1,1,5.259259,2.293307,28
227,Functions,1,1,1,1,1,0,0,2
228,Functions,0,-2,5,1,0.5,3.272727,1.809068,12
229,Functions,1.5,1,3,2,2,1,1,3
230,Functions,20,20,20,20,20,0,0,2
231,Functions,-0.5,-1,1,0,0,2,1.414214,2
232,Functions,-0.5,-1,1,0,0,2,1.414214,2
233,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
234,Functions,0,-3,154,2.847458,0,402.3729,20.05923,59
235,Functions,-2.25,-4,3,-0.5,-0.5,24.5,4.949747,2
236,Functions,-2.25,-3,-1,-1.75,-1.5,0.9166667,0.9574271,4
237,Functions,0,-2,1,-0.1666667,0,0.9666667,0.9831921,6
238,Functions,2,2,2,2,2,0,0,2
239,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
240,Functions,1,1,1,1,1,0,0,2
241,Functions,1,1,1,1,1,0,0,2
242,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
243,Functions,4.5,1,8,5.666667,8,16.33333,4.041452,3
244,Functions,-0.5,-1,0,-0.3333333,0,0.3333333,0.5773503,3
245,Functions,0,0,2,0.8571429,1,0.8095238,0.8997354,7
246,Functions,0,0,2,0.8571429,1,0.8095238,0.8997354,7
247,Functions,2.25,1,6,3.5,3.5,12.5,3.535534,2
248,Functions,2.25,1,6,3.5,3.5,12.5,3.535534,2
249,Functions,0,-4,107,1.079602,0,32.34913,5.68763,603
250,Functions,0,0,0,0,0,0,0,2
251,Functions,-0.5,-1,1,0,0,2,1.414214,2
252,Functions,-1.75,-3,2,-0.5,-0.5,12.5,3.535534,2
253,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
254,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
255,Functions,0,-1,16,1.175,0,7.327564,2.706947,40
256,Functions,0,-4,8,0.6111111,0,4.015873,2.003964,36
257,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
258,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
259,Functions,0,-1,12,1.56,0,9.256667,3.042477,25
260,Functions,0,0,1,0.5555556,1,0.2777778,0.5270463,9
261,Functions,-0.25,-1,2,0.5,0.5,4.5,2.12132,2
262,Functions,0,0,1,0.25,0,0.25,0.5,4
263,Functions,0,-3,4,0.6206897,0,1.529557,1.236752,29
264,Functions,0,0,0,0,0,0,0,2
265,Functions,6,6,6,6,6,0,0,3
266,Functions,0,-3,5,0.6,0.5,3.822222,1.95505,10
267,Functions,3.5,2,8,5,5,18,4.242641,2
268,Functions,0,0,1,0.6,1,0.3,0.5477226,5
269,Functions,0.5,-4,4,1,1,6.666667,2.581989,7
270,Functions,0,-4,9,0.9006623,0,3.050066,1.746444,151
271,Functions,2,2,2,2,2,0,0,2
272,Functions,0,0,3,0.6666667,0,0.969697,0.9847319,12
273,Functions,0,0,0,0,0,0,0,2
274,Functions,1,0,4,2,2,8,2.828427,2
275,Functions,0,0,0,0,0,0,0,2
276,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
277,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
278,Functions,0,0,0,0,0,0,0,2
279,Functions,1,1,1,1,1,0,0,2
280,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
281,Functions,0,0,0,0,0,0,0,2
282,Functions,0,-1,11,1.833333,0,20.56667,4.535049,6
283,Functions,0,-1,1,0.3333333,1,1.333333,1.154701,3
284,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
285,Functions,0.25,0,3,1,1,1.2,1.095445,6
286,Functions,-0.5,-1,1,0,0,2,1.414214,2
287,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
288,Functions,0.75,-2,4,1.375,1,3.982143,1.995531,8
289,Functions,0.5,0,2,1,1,2,1.414214,2
