X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1675,Blocks,0,0,0,0,0,0,0,2
1676,Blocks,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
1677,Blocks,0.75,0,1,0.75,1,0.25,0.5,4
1678,Blocks,1,1,1,1,1,0,0,2
1679,Blocks,1,1,1,1,1,0,0,2
1680,Blocks,0,0,0,0,0,0,0,2
1681,Blocks,0,0,0,0,0,0,0,2
1682,Blocks,0.5,0,2,1,1,2,1.414214,2
1683,Blocks,-2,-2,-2,-2,-2,0,0,2
1684,Blocks,1,1,1,1,1,0,0,2
1685,Blocks,1,1,1,1,1,0,0,2
1686,Blocks,0,0,0,0,0,0,0,2
1687,Blocks,0,0,0,0,0,0,0,5
1688,Blocks,0,0,0,0,0,0,0,4
1689,Blocks,0,0,0,0,0,0,0,2
1690,Blocks,1,1,1,1,1,0,0,2
1691,Blocks,1.5,1,2,1.666667,2,0.3333333,0.5773503,3
1692,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1693,Blocks,0.5,0,2,1,1,2,1.414214,2
1694,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1695,Blocks,0,0,0,0,0,0,0,2
1696,Blocks,1,1,1,1,1,0,0,2
1697,Blocks,1,1,1,1,1,0,0,2
1698,Blocks,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3
1699,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2
1700,Blocks,1.5,1,3,2,2,2,1.414214,2
1701,Blocks,3,3,3,3,3,0,0,2
1702,Blocks,0,0,0,0,0,0,0,2
1703,Blocks,1,1,1,1,1,0,0,2
1704,Blocks,0,0,0,0,0,0,0,2
1705,Blocks,0,0,0,0,0,0,0,2
1706,Blocks,-3,-3,-3,-3,-3,0,0,3
1707,Blocks,7,6,10,8,8,8,2.828427,2
1708,Blocks,-1.5,-2,0,-1,-1,2,1.414214,2
1709,Blocks,0,0,0,0,0,0,0,2
1710,Blocks,1,1,1,1,1,0,0,2
1711,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2
1712,Blocks,0,0,0,0,0,0,0,2
1713,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2
1714,Blocks,0.5,0,2,1,1,2,1.414214,2
1715,Blocks,1,1,1,1,1,0,0,2
1716,Blocks,0,0,0,0,0,0,0,2
1717,Blocks,0,0,0,0,0,0,0,2
1718,Blocks,0,0,0,0,0,0,0,2
1719,Blocks,1,1,1,1,1,0,0,3
