UserId,VoteTypeId,Percentile25,minValue,CloneGroupMax,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,elementNo
12960,Downvotes,6,2,23,11.66667,10,112.3333,10.59874,3
103043,Downvotes,2,2,10,4.5,3,14.33333,3.785939,4
132157,Downvotes,2,2,2,2,2,0,0,1
160950,Downvotes,1,1,1,1,1,0,0,1
136954,Downvotes,29.25,5,102,53.5,53.5,4704.5,68.58936,2
161142,Downvotes,2,2,2,2,2,0,0,1
90848,Downvotes,3,3,3,3,3,0,0,1
152578,Downvotes,55.75,37,112,74.5,74.5,2812.5,53.03301,2
18393,Downvotes,5.5,4,82,17.57143,7,812.2857,28.50063,7
166611,Downvotes,59,59,59,59,59,0,0,1
22996,Downvotes,12,12,12,12,12,0,0,1
70786,Downvotes,60,60,60,60,60,0,0,1
131872,Downvotes,2,1,105,5.706587,3,116.7025,10.8029,167
121993,Downvotes,1,1,1,1,1,0,0,1
14467,Downvotes,57.75,3,222,112.5,112.5,23980.5,154.8564,2
11732,Downvotes,52,52,52,52,52,0,0,1
127863,Downvotes,10,10,10,10,10,0,0,1
188691,Downvotes,46,46,46,46,46,0,0,1
572,Downvotes,25,25,25,25,25,0,0,1
15907,Downvotes,6,6,6,6,6,0,0,1
135152,Downvotes,8.5,8,10,9,9,2,1.414214,2
123266,Downvotes,29,29,29,29,29,0,0,1
140816,Downvotes,44.5,6,96,61.66667,83,2366.333,48.64497,3
75126,Downvotes,30,30,30,30,30,0,0,1
137483,Downvotes,3,3,3,3,3,0,0,1
77779,Downvotes,10.25,6,23,14.5,14.5,144.5,12.02082,2
12048,Downvotes,1.75,1,54,16.25,5,642.9167,25.3558,4
53897,Downvotes,4,4,4,4,4,0,0,1
3250,Downvotes,4,4,4,4,4,0,0,1
34009,Downvotes,5,5,5,5,5,0,0,1
56242,Downvotes,2.75,2,5,3.5,3.5,4.5,2.12132,2
2041950,Downvotes,3,3,3,3,3,0,0,1
157882,Downvotes,3,1,1905,43.63158,6,48965.81,221.2822,76
26620,Downvotes,6,6,6,6,6,0,0,1
208180,Downvotes,3,3,3,3,3,0,0,1
122428,Downvotes,4,4,4,4,4,0,0,1
2979,Downvotes,24,24,24,24,24,0,0,1
61974,Downvotes,1.75,1,8,4.75,5,14.25,3.774917,4
183406,Downvotes,2,1,14,6.125,5,22.69643,4.764077,8
70604,Downvotes,7.75,2,342,58.66667,24,9846.242,99.22823,12
110088,Downvotes,6,6,6,6,6,0,0,1
223429,Downvotes,13.25,2,47,24.5,24.5,1012.5,31.81981,2
48483,Downvotes,4,4,4,4,4,0,0,1
178526,Downvotes,79,79,79,79,79,0,0,1
230513,Downvotes,2,1,90,8.036765,4,174.1097,13.19507,136
60956,Downvotes,3.5,2,8,5,5,18,4.242641,2
157921,Downvotes,6,6,6,6,6,0,0,1
2965,Downvotes,2,2,2,2,2,0,0,1
165520,Downvotes,12,12,12,12,12,0,0,1
219183,Downvotes,14,14,14,14,14,0,0,1
34088,Downvotes,3.25,3,4,3.5,3.5,0.5,0.7071068,2
10973,Downvotes,2.5,2,4,3,3,2,1.414214,2
170224,Downvotes,17,17,17,17,17,0,0,1
235354,Downvotes,1,1,1,1,1,0,0,1
138837,Downvotes,3,3,3,3,3,0,0,1
235,Downvotes,10,10,10,10,10,0,0,1
42769,Downvotes,12.25,2,43,22.5,22.5,840.5,28.99138,2
27198,Downvotes,15,15,15,15,15,0,0,1
140938,Downvotes,3,3,3,3,3,0,0,1
209507,Downvotes,74,74,74,74,74,0,0,1
67606,Downvotes,21,21,21,21,21,0,0,1
127359,Downvotes,16.75,1,64,32.5,32.5,1984.5,44.54773,2
168657,Downvotes,3,3,3,3,3,0,0,1
252648,Downvotes,3,3,3,3,3,0,0,1
257356,Downvotes,2,1,5,3,3,8,2.828427,2
247003,Downvotes,7,7,7,7,7,0,0,1
243613,Downvotes,18,18,18,18,18,0,0,1
104796,Downvotes,4,4,4,4,4,0,0,1
220363,Downvotes,55,55,55,55,55,0,0,1
203907,Downvotes,5,4,219,55.2,7,8624.2,92.86657,5
60698,Downvotes,3,3,3,3,3,0,0,1
126769,Downvotes,56,29,137,83,83,5832,76.36753,2
13,Downvotes,49,49,49,49,49,0,0,1
251173,Downvotes,2.5,1,64,23.28571,5,749.9048,27.38439,7
250798,Downvotes,2,2,2,2,2,0,0,1
190586,Downvotes,10,10,10,10,10,0,0,1
256660,Downvotes,474,474,474,474,474,0,0,1
68587,Downvotes,2,1,9,3.2,2,10.7,3.271085,5
188865,Downvotes,1,1,1,1,1,0,0,1
228591,Downvotes,58,58,58,58,58,0,0,1
263321,Downvotes,4,4,4,4,4,0,0,1
227140,Downvotes,3,2,6,4,4,4,2,3
276101,Downvotes,5,1,445,76.22222,13,21868.94,147.8815,9
250648,Downvotes,12,12,12,12,12,0,0,1
104117,Downvotes,19,2,70,36,36,2312,48.08326,2
6365,Downvotes,30,30,30,30,30,0,0,1
193892,Downvotes,2,2,2,2,2,0,0,1
282762,Downvotes,1,1,1,1,1,0,0,1
247533,Downvotes,23,14,50,32,32,648,25.45584,2
236465,Downvotes,63,63,63,63,63,0,0,1
37213,Downvotes,3,1,24,7.941176,6,43.80882,6.618823,17
11238,Downvotes,172,172,172,172,172,0,0,1
14955,Downvotes,3.5,3,5,4,4,1,1,3
269446,Downvotes,38,38,38,38,38,0,0,1
104950,Downvotes,3.25,3,4,3.5,3.5,0.5,0.7071068,2
9371,Downvotes,45,45,45,45,45,0,0,1
13249,Downvotes,2,2,2,2,2,0,0,1
87197,Downvotes,5,2,21,10.75,10,71.58333,8.460693,4
208446,Downvotes,5.5,5,7,6,6,2,1.414214,2
279218,Downvotes,4,4,4,4,4,0,0,1
192247,Downvotes,62,62,62,62,62,0,0,1
296055,Downvotes,40,40,40,40,40,0,0,1
265143,Downvotes,6,4,18,8.714286,7,22.90476,4.785892,7
30316,Downvotes,15,15,15,15,15,0,0,1
252579,Downvotes,3,3,3,3,3,0,0,1
223339,Downvotes,3,3,3,3,3,0,0,1
176291,Downvotes,3,3,3,3,3,0,0,1
115145,Downvotes,2,1,128,18.6,2.5,1604.044,40.05052,10
83406,Downvotes,0,0,0,0,0,0,0,0
268396,Downvotes,1,1,1,1,1,0,0,1
271236,Downvotes,5,5,5,5,5,0,0,2
196211,Downvotes,32,32,32,32,32,0,0,1
292728,Downvotes,8,8,8,8,8,0,0,1
108326,Downvotes,3,3,3,3,3,0,0,1
141321,Downvotes,7,7,7,7,7,0,0,1
111313,Downvotes,2,2,2,2,2,0,0,1
185722,Downvotes,2.5,2,4,3,3,1,1,3
300204,Downvotes,2,2,2,2,2,0,0,1
185723,Downvotes,18,18,18,18,18,0,0,1
72673,Downvotes,2,2,17,5.75,2,56.25,7.5,4
121364,Downvotes,6,6,6,6,6,0,0,1
149956,Downvotes,18,18,18,18,18,0,0,1
115890,Downvotes,6,6,6,6,6,0,0,1
324249,Downvotes,4,4,4,4,4,0,0,1
294750,Downvotes,1,1,1,1,1,0,0,1
276052,Downvotes,2,1,151,11.32258,4,741.2925,27.22669,31
129599,Downvotes,398,398,398,398,398,0,0,1
49804,Downvotes,18.25,3,64,33.5,33.5,1860.5,43.13351,2
17343,Downvotes,2,2,4,2.75,2.5,0.9166667,0.9574271,4
120574,Downvotes,2,2,2,2,2,0,0,1
143969,Downvotes,2,2,2,2,2,0,0,1
192637,Downvotes,2,2,2,2,2,0,0,1
170974,Downvotes,42.25,20,109,64.5,64.5,3960.5,62.9325,2
105744,Downvotes,384,384,384,384,384,0,0,1
